item_id,model_id,subscription_info,serial_number,unit_remarks1, amount ,unit_remarks2,unit_remarks3
Sim Card,Singtel,96562467,91391789,Kallang Whampoa HDB (SB - Stn 1),,40 GB,End on 11-May-23 (12 months)
Sim Card,Singtel,96562467,94616830,N1062 PIE - Thomson Viaduct (AMMS Stn 19), $18.60 ,2 GB,Contract 11-May-22 to 10-May-23 (12 months)
Sim Card,Singtel,96562467,94632624,CR102 (Stn 3), $18.60 ,2 GB,Contract 11-May-22 to 10-May-23 (12 months)
Sim Card,Singtel,96562467,96573063,CR116 AMK (Stn 9), $18.69 ,40 GB,Contract 11-May-22 to 10-May-23 (12 months)
Sim Card,Singtel,96562467,98212641,N1082 (IB Stn 5 - 7), $23.36 ,20 GB,Contract 25-Mar-21 to 24-Mar-22 (12 months)
Sim Card,Singtel,96562467,98390654,N1082 (IB Stn 8), $23.36 ,20 GB,Contract 25-Mar-21 to 24-Mar-22 (12 months)
Sim Card,Singtel,96562467,98394897,The Legend (Liang Court) (Stn 1 - 3), $23.36 ,20 GB,Contract 25-Mar-21 to 24-Mar-22 (12 months)
Sim Card,Singtel,96562467,98636404,IWMF (Stn 2), $18.69 ,3 GB,Contract 21-Jan-19 to 20-Jan-20 (12 months)
Sim Card,Singtel,32270968,86339603,MSP Office (With Eman - Office Testing), $14.66 ,50 GB,Contract 18-Nov-11 to 18-Nov-13 (24 months)
Sim Card,Singtel,32270968,86339605,CR102 - Semi Landslide site (Stn 7) , $14.66 ,50 GB,
Sim Card,Singtel,32270968,86339612,N1062 PIE - Thomson Viaduct (AMMS Stn 11), $14.66 ,50 GB,
Sim Card,Singtel,32270968,86339615,MSP Office (With Suriyati), $14.66 ,50 GB,
Sim Card,Singtel,32270968,90174632,IWMF (Stn 3),,50 GB,Contract 10-May-23 to 09-May-24 (12 months)
Sim Card,Singtel,32270968,90175245,CR116i AMK (Stn 3),,50 GB,Contract 10-May-23 to 09-May-24 (12 months)
Sim Card,Singtel,32270968,90175605,IWMF (Stn 4),,50 GB,Contract 10-May-23 to 09-May-24 (12 months)
Sim Card,Singtel,32270968,90176120,CR116 AMK (Stn 7),,50 GB,Contract 10-May-23 to 09-May-24 (12 months)
Sim Card,Singtel,32270968,90176296,DE160 (Expo Bound - Stn 3),,50 GB,Contract 10-May-23 to 09-May-24 (12 months)
Sim Card,Singtel,32270968,90176728,DE160 (BB Bound - Stn 2),,50 GB,Contract 10-May-23 to 09-May-24 (12 months)
Sim Card,Singtel,32270968,91147588,CR116 AMK (Stn 1), $23.36 ,20 GB,Contract 28-Jan-21 to 27-Jan-22 (12 months)
Sim Card,Singtel,32270968,91727538,N1112 Bullion Park Ext (Stn 4), $23.36 ,20 GB,Contract 28-Jan-21 to 27-Jan-22 (12 months)
Sim Card,Singtel,32270968,96483058,MSP Office (To check at which site), $23.36 ,20 GB,Contract 28-Jan-21 to 27-Jan-22 (12 months)
Sim Card,Singtel,32270968,96538518,SPPG May Road (Stn 1-4), $23.36 ,20 GB,Contract 28-Jan-21 to 27-Jan-22 (12 months)
Sim Card,Singtel,32270968,96584840,Gombak Camp - Cashew MRT Stn 4 (Expo Bound), $23.36 ,20 GB,Contract 28-Jan-21 to 27-Jan-22 (12 months)
Sim Card,Singtel,97141735,93562827,T313 / C922 - Expo MRT Station (BB Bound) , $18.60 ,2 GB,Contract 04-Oct-17 to 04-Jan-18 (3 months)
Sim Card,Singtel,97141735,93566346,FMBE (CB - Stn 3), $22.95 ,50 GB,Contract 04-Jan-08 to 04-Jan-09 (12 months)
