invoice_number	invoice_date	po_number	model_id	serial_number	unit_remarks1	amount	unit_remarks3	unit_remarks2
MSP-0006	27-Mar-13	P1300060	Sokkia NET05AX	102226	NET05AXP51TM-21 (212040LA0) 3D Station	 USD 20,000.00 	MSP Office	
MSP-0006	27-Mar-13	P1300060	Sokkia NET05AX	102229	NET05AXP51TM-21 (212040LA0) 3D Station	 USD 20,000.00 	MSP Office	
MSP-0006	27-Mar-13	P1300060	Sokkia NET05AX	102230	NET05AXP51TM-21 (212040LA0) 3D Station	 USD 20,000.00 	MSP Office	
75956	1-Apr-11	P11073	Sokkia NET1AX	100546	"SOKKIA NET1AXT51TM-21 Automated 3-D Station Complete with:
2 x BDC58 rechargeable battery
1 x CDC68 charger
1 x EDC113 cable for CDC68"	 $24,675.00 	MSP Office	"STORE (CANNOT USE)
RAJA: POWER ON - ERROR CODE"
78802	20-Oct-11	P11134	Sokkia NET1AX	101201	"SOKKIA NET1AXT51TM-21 Automated 3-D Station Complete with:
2 x BDC58 rechargeable battery
1 x CDC68 charger
1 x EDC113 cable for CDC68"	 $26,250.00 	MSP Office	
80012	31-Jan-12	P1200005	Sokkia NET1AX	101426	"SOKKIA NET1AXT51TM-21 Automated 3-D Station Complete with:
2 x BDC58 rechargeable battery
1 x CDC68 charger
1 x EDC113 cable for CDC68"	 $26,250.00 	MSP Office	
82923	3-Jul-12	P1200122	Sokkia NET1AX	101651	"SOKKIA NET1AXT51TM-21 Automated 3-D Station Complete with:
2 x BDC58 rechargeable battery
1 x CDC68 charger
1 x EDC113 cable for CDC68"	 $26,250.00 	MSP Office	
84414	24-Sep-12	P1200162	Sokkia NET1AX	102056	"SOKKIA NET1AXT51TM-21 Automated 3-D Station Complete with:
2 x BDC58 rechargeable battery
1 x CDC68 charger
1 x EDC113 cable for CDC68"	 $26,250.00 	MSP Office	
84414	24-Sep-12	P1200162	Sokkia NET1AX	102057	"SOKKIA NET1AXT51TM-21 Automated 3-D Station Complete with:
2 x BDC58 rechargeable battery
1 x CDC68 charger
1 x EDC113 cable for CDC68"	 $26,250.00 	MSP Office	
85999	3-Jan-13	P1200199	Sokkia NET1AX	102168	"SOKKIA NET1AXT51TM-21 Automated 3-D Station Complete with:
2 x BDC58 rechargeable battery
1 x CDC68 charger
1 x EDC113 cable for CDC68"	 $26,250.00 	MSP Office	
59405	21-Dec-07	P07116	Sokkia NET1m	101103	"SOKKIA NET1P51TN-22 Mono Mobile 3-D Station Complete with:
2 x BDC58 battery
1 x CDC68 charger
1 x EDC131 cable"	 $21,500.00 	MSP Office	
59405	21-Dec-07	P07116	Sokkia NET1m	101160	"SOKKIA NET-1M Mono Mobile 3-D Station Complete with:
2 x rechargeable battery
1 x charger 1 x cable"	 $21,500.00 	MSP Office	
61336	12-May-08	P07122	Sokkia NET1m	101553	"SOKKIA NET-1M Mono Mobile 3-D Station Complete with:
2 x rechargeable battery
1 x charger
1 x EDC131 cable"	 $21,500.00 	MSP Office	
61334	2-May-08	P08082	Sokkia NET1m	101554	"SOKKIA NET-1M Mono Mobile 3-D Station Complete with:
2 x rechargeable battery
1 x charger
1 x EDC131A cable"	 $21,500.00 	MSP Office	"STORE (CANNOT USE)
RAJA: POWER ON - ERROR CODE"
61336	12-May-08	P08083	Sokkia NET1m	101563	"SOKKIA NET-1M Mono Mobile 3-D Station Complete with:
2 x rechargeable battery
1 x charger
1 x EDC131 cable"	 $21,500.00 	MSP Office	
61334	2-May-08	P08082	Sokkia NET1m	101571	"SOKKIA NET-1M Mono Mobile 3-D Station Complete with:
2 x rechargeable battery
1 x charger
1 x EDC131 cable"	 $21,500.00 	MSP Office	
66487	25-May-09	P09053	Sokkia NET1m	101581	"SOKKIA NET-1M Mono Mobile 3-D Station Complete with:
2 x rechargeable battery
1 x charger 1 x cable"	 $11,825.00 	MSP Office	
61888	16-Jun-08	P08102	Sokkia NET1m-II	101594	"SOKKIA NET1P51TN-22 Mono Mobile 3-D Station Complete with:
2 x BDC58 battery
1 x CDC68 charger
1 x EDC131 cable"	 $21,500.00 	MSP Office	
61888	16-Jun-08	P08102	Sokkia NET1m-II	101677	"SOKKIA NET1P51TN-22 Mono Mobile 3-D Station Complete with:
2 x BDC58 battery
1 x CDC68 charger
1 x EDC131 cable"	 $21,500.00 	MSP Office	
61888	16-Jun-08	P08102	Sokkia NET1m-II	101743	"SOKKIA NET1P51TN-22 Mono Mobile 3-D Station Complete with:
2 x BDC58 battery
1 x CDC68 charger
1 x EDC131 cable"	 $21,500.00 	MSP Office	
63000	27-Aug-08	P08155	Sokkia NET1m-II	101922	"SOKKIA NET1P51TN-22 Mono Mobile 3-D Station Complete with:
2 x BDC58 battery
1 x CDC68 charger
1 x EDC131 cable"	 $21,500.00 	MSP Office	
63000	27-Aug-08	P08155	Sokkia NET1m-II	101923	"SOKKIA NET1P51TN-22 Mono Mobile 3-D Station Complete with:
2 x BDC58 battery
1 x CDC68 charger
1 x EDC131 cable"	 $21,500.00 	MSP Office	
63000	27-Aug-08	P08155	Sokkia NET1m-II	101924	"SOKKIA NET1P51TN-22 Mono Mobile 3-D Station Complete with:
2 x BDC58 battery
1 x CDC68 charger
1 x EDC131 cable"	 $21,500.00 	MSP Office	
63829	16-Oct-08	P08174	Sokkia NET1m-II	102011	"SOKKIA NET1P51TN-22 Mono Mobile 3-D Station Complete with:
2 x BDC58 battery
1 x CDC68 charger
1 x EDC131 cable"	 $21,500.00 	MSP Office	
63829	16-Oct-08	P08174	Sokkia NET1m-II	102014	"SOKKIA NET1P51TN-22 Mono Mobile 3-D Station Complete with:
2 x BDC58 battery
1 x CDC68 charger
1 x EDC131 cable"	 $21,500.00 	MSP Office	
63829	16-Oct-08	P08174	Sokkia NET1m-II	102017	"SOKKIA NET1P51TN-22 Mono Mobile 3-D Station Complete with:
2 x BDC58 battery
1 x CDC68 charger
1 x EDC131 cable"	 $21,500.00 	MSP Office	
64689	5-Jan-09	P08195R & P08174	Sokkia NET1m-II	102178	"SOKKIA NET1P51TN-22 Mono Mobile 3-D Station Complete with:
2 x BDC58 battery
1 x CDC68 charger
1 x EDC131 cable"	 $21,500.00 	MSP Office	
64689	5-Jan-09	P08195R & P08174	Sokkia NET1m-II	102282	"SOKKIA NET1P51TN-22 Mono Mobile 3-D Station Complete with:
2 x BDC58 battery
1 x CDC68 charger
1 x EDC131 cable"	 $21,500.00 	MSP Office	
64689	5-Jan-09	P08195R & P08174	Sokkia NET1m-II	102285	"SOKKIA NET1P51TN-22 Mono Mobile 3-D Station Complete with:
2 x BDC58 battery
1 x CDC68 charger
1 x EDC131 cable"	 $21,500.00 	MSP Office	
MSP-0006	27-Mar-13	P1300060	Sokkia NET1m-II	102286	NET1AXT11T-21W (212021BA0) 3D Station	 USD 20,000.00 	MSP Office	
64740	8-Jan-09	P08195R	Sokkia NET1m-II	102292	"SOKKIA NET1P51TN-22 Mono Mobile 3-D Station Complete with:
2 x BDC58 battery
1 x CDC68 charger
1 x EDC131 cable"	 $21,500.00 	MSP Office	
64740	8-Jan-09	P08195R	Sokkia NET1m-II	102298	"SOKKIA NET1P51TN-22 Mono Mobile 3-D Station Complete with:
2 x BDC58 battery
1 x CDC68 charger
1 x EDC131 cable"	 $21,500.00 	MSP Office	
68440	9-Oct-09	P09115	Sokkia NET1m-II	102700	"SOKKIA NET1P51TN-22 Mono Mobile 3-D Station Complete with:
2 x BDC58 battery
1 x CDC68 charger
1 x EDC131 cable"	 $21,500.00 	MSP Office	
70129	1-Mar-10	P010005	Sokkia NET1m-II	102703	"SOKKIA NET1P51TN-22 Mono Mobile 3-D Station Complete with:
2 x BDC58 battery
1 x CDC68 charger
1 x EDC131 cable"	 $21,500.00 	MSP Office	
68282	17-Sep-09	P09107	Sokkia NET1m-II	102707	"SOKKIA NET1P51TN-22 Mono Mobile 3-D Station Complete with:
2 x BDC58 battery
1 x CDC68 charger
1 x EDC131 cable"	 $21,500.00 	MSP Office	
73752	20-Aug-10	P010077	Sokkia NET1m-II	102997	"SOKKIA NET1P51TN-22 Mono Mobile 3-D Station Complete with:
2 x BDC58 battery
1 x CDC68 charger
1 x EDC131 cable"	 $22,575.00 	MSP Office	No record instrument brought back from N1062 PIE AMMS (Stn 12)
69845	28-Jan-10	P09140	Sokkia NET1m-II	103003	"SOKKIA NET1P51TN-22 Mono Mobile 3-D Station Complete with:
2 x BDC58 battery
1 x CDC68 charger
1 x EDC131 cable"	 $21,500.00 	MSP Office	
69954	5-Feb-10	P09140	Sokkia NET1m-II	103005	"SOKKIA NET1P51TN-22 Mono Mobile 3-D Station Complete with:
2 x BDC58 battery
1 x CDC68 charger
1 x EDC131 cable"	 $21,500.00 	MSP Office	
74930	10-Feb-11	P11013	Sokkia NET1m-II	103047	"SOKKIA NET1P51TN-22 Mono Mobile 3-D Station Complete with:
2 x BDC58 battery
1 x CDC68 charger
1 x EDC131 cable"	 $22,575.00 	MSP Office	
74930	10-Feb-11	P11013	Sokkia NET1m-II	103103	"SOKKIA NET1P51TN-22 Mono Mobile 3-D Station Complete with:
2 x BDC58 battery
1 x CDC68 charger
1 x EDC131 cable"	 $22,575.00 	MSP Office	
75401	1-Mar-11	P11028	Sokkia NET1m-II	103116	"SOKKIA NET1P51TN-22 Mono Mobile 3-D Station Complete with:
2 x BDC58 battery
1 x CDC68 charger
1 x EDC131 cable"	 $22,575.00 	MSP Office	
S/I-002963	31-Dec-18	P1800229	Sokkia NET1AXTIIT/TE2	KH0355	"SOKKIA NET1AXT11T/TE2 Automated 3D Station complete with:
2 x BDC58 rechargeable battery
1 x CDC68 charger
1 x EDC113 cable for CDC68"	 $24,100.00 	MSP Office	
S/I-005199	10-Jul-19	P1900139	Sokkia NET1AXTIIT/TE2	KH0397	"SOKKIA NET1AXT11T/TE2 Automated 3D Station complete with:
2 x BDC58 rechargeable battery
1 x CDC68 charger
1 x EDC113 cable for CDC68"	 $24,100.00 	MSP Office	
S/I-005356	22-Jul-19	P1900139	Sokkia NET1AXTIIT/TE2	KH0458	"SOKKIA NET1AXT11T/TE2 Automated 3D Station complete with:
2 x BDC58 rechargeable battery
1 x CDC68 charger
1 x EDC113 cable for CDC68"	 $24,100.00 	MSP Office	
S/I-006829	25-Nov-19	P1900227	Sokkia NET1AXTIIT/TE2	KH0472	"SOKKIA NET1AXT11T/TE2 Automated 3D Station complete with:
2 x BDC58 rechargeable battery
1 x CDC68 charger
1 x EDC113 cable for CDC68"	 $21,300.00 	MSP Office	
S/I-006830	25-Nov-19	P1900225	Sokkia NET1AXTIIT/TE2	KH0479	"SOKKIA NET1AXT11T/TE2 Automated 3D Station complete with:
2 x BDC58 rechargeable battery
1 x CDC68 charger
1 x EDC113 cable for CDC68"	 $21,300.00 	MSP Office	
S/I-010541	6-Jan-21	P210002	Sokkia NET1AXTIIT/TE2	KH0528	"SOKKIA NET1AXT11T/TE2 Automated 3D Station complete with:
2 x BDC58 rechargeable battery
1 x CDC68 charger
1 x EDC113 cable for CDC68"	 $21,300.00 	MSP Office	
S/I-010424	15-Dec-20	P2000178	Sokkia NET1AXTIIT/TE2	KH0541	"SOKKIA NET1AXT11T/TE2 Automated 3D Station complete with:
2 x BDC58 rechargeable battery
1 x CDC68 charger
1 x EDC113 cable for CDC68"	 $21,300.00 	MSP Office	
TSP20/80790	10-Mar-21	P210053	Sokkia NET1AXTIIT/TE2	KH0632	NET1AXIIT/TE Measuring Station	 USD 14,500.00 	MSP Office	
TSP20/80790	10-Mar-21	P210053	Sokkia NET1AXTIIT/TE2	KH0633	NET1AXIIT/TE Measuring Station	 USD 14,500.00 	MSP Office	
S/D - 018045	11-Oct-21	P210121	Sokkia NET1AXII/TE	KH0645	"SOKKIA NETAX11T/TE 3D Ultra High-Precision 3D Station complete with:
2 x BDC72 battery
1 x CDC77 battery charger
1 x EDC113 Power Cable"	 $21,500.00 	MSP Office	
S/D - 018045	11-Oct-21	P210121	Sokkia NET1AXIIT/TE	KH0654	"SOKKIA NETAX11T/TE 3D Ultra High-Precision 3D Station complete with:
2 x BDC72 battery
1 x CDC77 battery charger
1 x EDC113 Power Cable"	 $21,500.00 	MSP Office	
S/I-22-10-0296	25-Oct-22	P220173	Sokkia NET1AXII/TE	KH0699	"SOKKIA NETAX11T/TE 3D Ultra High-Precision 3D Station complete with:
2 x BDC72 battery
1 x CDC77 battery charger
1 x EDC113 Power Cable"	 $22,300.00 	MSP Office	
S/I-013856	31-Oct-21	P210192	Sokkia IX-1001	UR005789	"Sokkia IX-1001 / SPBWT robotic total station complete with:
2 x BDC72 battery
1 x CDC77 quick charger
1 x Power cable"	 $11,215.00 	MSP Office	
S/I-013856	31-Oct-21	P210192	Sokkia IX-1001	UR005834	"Sokkia IX-1001 / SPBWT robotic total station complete with:
2 x BDC72 battery
1 x CDC77 quick charger
1 x Power cable"	 $11,215.00 	MSP Office	
S/D-019061	8-Dec-21	P210248	Sokkia IX-1001	UR006022	"Sokkia IX-1001 / SPBWT robotic total station complete with:
2 x BDC72 battery
1 x CDC77 quick charger
1 x Power cable"	 $11,215.00 	MSP Office	
S/I-23-02-0126	15-Feb-23	P220149	Sokkia IX-1201	XS001064	"Sokkia IX-1201 / SPBWT Automatic Tracking Function robotic total station complete with:
2 x BDC72 battery
1 x CDC77 quick charger
1 x Power cable
1 x thum drive"	 $16,500.00 	MSP Office	
