items,Model,subscription_info,serial number,units_remarks1,units_remarks2
Sim Card,Singtel,96562467,90342757,Terminated,3-Nov-11
Sim Card,Singtel,96562467,93933668,Terminated,3-Nov-11
Sim Card,Singtel,96562467,90328785,Terminated,4-Jan-11
Sim Card,Singtel,96562467,96590896,Terminated,4-Jan-11
Sim Card,Singtel,96562467,90339980,Terminated,4-Jan-11
Sim Card,Singtel,96562467,90342759,Terminated,4-Jan-11
Sim Card,Singtel,96562467,90342754,Terminated,4-Jan-11
Sim Card,Singtel,96562467,90342755,Terminated,4-Jan-11
Sim Card,Singtel,96562467,97135201,Terminated,
Sim Card,Singtel,96562467,94625364,Terminated,30-Sept-14
Sim Card,Singtel,96562467,93565013,Terminated,2-Oct-15
Sim Card,Singtel,96562467,90329453,Terminated,27-Jun-18
Sim Card,Singtel,96562467,96453281,Terminated,22-Feb-20
Sim Card,Singtel,96562467,92967305,Terminated,26-Oct-20
Sim Card,Singtel,96562467,90349783,Terminated,28-May-21
Sim Card,Singtel,87569465,91531004,Terminated,3-Nov-11
Sim Card,Singtel,87569465,91531822,Terminated,4-Jan-11
Sim Card,Singtel,87569465,96764001,Terminated,4-Jan-11
Sim Card,Singtel,87569465,90336416,Terminated,4-Jan-11
Sim Card,Singtel,87569465,90337316,Terminated,4-Jan-11
Sim Card,Singtel,87569465,90342749,Terminated,4-Jan-11
Sim Card,Singtel,87569465,93569549,Terminated,4-Jan-11
Sim Card,Singtel,87569465,96728535,Terminated,4-Jan-11
Sim Card,Singtel,87569465,91537974,Terminated,
Sim Card,Singtel,87569465,96728823,Terminated,4-Nov-15
Sim Card,Singtel,87569465,96728819,Terminated,28-Jul-16
Sim Card,Singtel,87569465,66367289,Terminated,8-Nov-16
Sim Card,Singtel,13593324,97135526,Terminated,1-Apr-14
Sim Card,Singtel,32270968,86339613,Terminated,30-Sept-14
Sim Card,Singtel,32270968,86339604,Terminated,13-Jan-16
Sim Card,Singtel,32270968,86339602,Terminated,3-Oct-16
Sim Card,Singtel,32270968,86339614,Terminated,3-Oct-16
Sim Card,Singtel,97141735,90341482,Terminated,
Sim Card,Singtel,97141735,94635645,Terminated,4-Jan-11
Sim Card,Singtel,97141735,94628039,Terminated,7-Dec-13
Sim Card,Singtel,97141735,94611539,Terminated,24-Jul-15
Sim Card,Singtel,30027948,97141471,Terminated,
Sim Card,Singtel,30027948,97141106,Terminated,30-Sept-14
Sim Card,Singtel,30027948,97141164,Terminated,30-Sept-14
Sim Card,Singtel,30027948,97141225,Terminated,6-Apr-15
Sim Card,Singtel,30027948,97141470,Terminated,6-Apr-15
Sim Card,Singtel,30027948,97141521,Terminated,13-Jan-16
Sim Card,Singtel,30027948,97141528,Terminated,3-Oct-16
Sim Card,Singtel,30027948,97141304,Terminated,9-May-17
Sim Card,Singtel,21448125,91582241,Terminated,30-Sept-14
Sim Card,Singtel,21448125,96594173,Terminated,3-Feb-16
Sim Card,Singtel,21448125,91531560,Terminated,9-May-17
Sim Card,Singtel,21448125,91537397,Terminated,9-May-17
Sim Card,Singtel,21448125,93788951,Terminated,9-May-17
Sim Card,Singtel,97111755,85186753,Terminated,14-Jul-15
Sim Card,Singtel,34206661,91106794,Terminated,30-Sept-14
Sim Card,Singtel,34206661,90313193,Terminated,3-Oct-16
Sim Card,Singtel,13593147,94423242,Terminated,
Sim Card,Singtel,13593147,94423150,Terminated,30-Sept-14
Sim Card,Singtel,13593147,93773901,Terminated,12-Aug-15
Sim Card,Singtel,13593147,93775892,Terminated,24-Jul-15
Sim Card,Singtel,13593147,94422711,Terminated,24-Jul-15
Sim Card,Singtel,13593147,94423036,Terminated,24-Aug-15
Sim Card,Singtel,13593147,93776284,Terminated,2-Oct-15
Sim Card,Singtel,13593147,93775646,Terminated,9-May-17
Sim Card,Singtel,13593147,94422611,Terminated,9-May-17
Sim Card,Singtel,13593147,93774353,Terminated,16-Dec-17
Sim Card,Singtel,13593147,98391214,Terminated,6-Jul-20
Sim Card,Singtel,13593147,98234575,Terminated,28-Dec-20
Sim Card,Singtel,13593147,98267374,Terminated,12-Jan-21
Sim Card,Singtel,48370648,96522286,Terminated,26-Oct-20
Sim Card,Singtel,14096257,90183719,Terminated,1-Mar-21
Sim Card,Singtel,96562467,91783024,Terminated,15-Sept-21
Sim Card,Singtel,96562467,91504562,Terminated,17-Nov-21
Sim Card,Singtel,96562467,90109891,Terminated,20-Apr-22
Sim Card,Singtel,96562467,98246129,Terminated,20-Apr-22
Sim Card,Singtel,13593147,98216838,Terminated,20-Apr-22
Sim Card,Singtel,13593147,97572135,Terminated,20-Apr-22
Sim Card,Singtel,97141735,94613642,Terminated,20-Apr-22
Sim Card,Singtel,97141735,96350457,Terminated,20-May-22
Sim Card,Singtel,21448125,98259343,Terminated,20-May-22
Sim Card,Singtel,13593147,98286242,Terminated,20-May-22
Sim Card,Singtel,96562467,98315043,Terminated,25-May-22
Sim Card,Singtel,13593147,93784639,Terminated,7-Oct-22
Sim Card,Singtel,13593147,90121787,Terminated,7-Oct-22
Sim Card,Singtel,34206661,93990422,Terminated,7-Oct-22
Sim Card,Singtel,48370648,85114862,Terminated,7-Oct-22
Sim Card,Singtel,32270968,86339616,Terminated,7-Oct-22
Sim Card,Singtel,96562467,91370685,Terminated,21-Nov-22
Sim Card,Singtel,96562467,97129438,Terminated,21-Nov-22
Sim Card,Singtel,96562467,96529748,Terminated,21-Nov-22
Sim Card,Singtel,14096257,97842697,Terminated,21-Nov-22
Sim Card,Singtel,58300185,90172891,Terminated,21-Nov-22
Sim Card,Singtel,58300185,93936425,Terminated,21-Nov-22
Sim Card,Singtel,13593147,98215046,Terminated,21-Nov-22
